SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Townhouse,3187 Cocoplum Cir #3187,Coconut Creek,FL,33063,335000,2,2.5,Karanda Village,1182,,1984,2,283,499,Active,,,https://www.redfin.com/FL/Coconut-Creek/3187-Cocoplum-Cir-33063/unit-3187/home/185852853,Beaches MLS,F10395909,N,Y,26.2652848,-80.1915417
MLS Listing,,Condo/Co-op,3224 S Ocean Blvd Unit 212b,Highland Beach,FL,33487,410000,1,1.5,Seagate OF Highland Condo,981,,1970,2,418,880,Active,,,https://www.redfin.com/FL/Highland-Beach/3224-S-Ocean-Blvd-33487/unit-212B/home/42386682,Beaches MLS,RX-10913082,N,Y,26.416404,-80.06571
MLS Listing,,Multi-Family (2-4 Unit),445 SW 36th Ave,Miami,FL,33135,825000,5,3.0,Little Gables,2198,6650,1967,2,375,,Pre On-Market,,,https://www.redfin.com/FL/Miami/445-SW-36th-Ave-33135/home/42734587,Beaches MLS,RX-10913081,N,Y,25.7678472,-80.2530015
MLS Listing,,Townhouse,301 SW 87th Path #301,Miami,FL,33174,695000,3,2.5,CENTURY VILLAS,2071,,2002,2,336,165,Active,August-26-2023 12:00 PM,August-26-2023 02:00 PM,https://www.redfin.com/FL/Miami/301-SW-87th-Path-33174/unit-301/home/186921348,MARMLS,A11438883,N,Y,25.766673,-80.3378
MLS Listing,,Single Family Residential,6752 SW 52nd St,Miami,FL,33155,1200000,4,4.0,ESTONIA SUB,1416,14500,1953,2,847,,Active,,,https://www.redfin.com/FL/Miami/6752-SW-52nd-St-33155/home/43085557,MARMLS,A11438864,N,Y,25.7218846,-80.3036306
MLS Listing,,Condo/Co-op,2581 N Garden Dr #111,Lake Worth,FL,33461,159000,2,2.0,Lake Clarke Gardens Condo 2,1080,,1968,2,147,913,Active,,,https://www.redfin.com/FL/Lake-Worth/2581-Garden-Dr-N-33461/unit-111/home/42287610,Beaches MLS,RX-10913077,N,Y,26.6351852,-80.0814073
MLS Listing,,Single Family Residential,5144 Minto Rd,Boynton Beach,FL,33472,260000,2,2.0,Mirror Lakes 1,1310,4500,1979,2,198,158,Active,,,https://www.redfin.com/FL/Boynton-Beach/5144-Minto-Rd-33472/home/42194081,Beaches MLS,RX-10913076,N,Y,26.5354283,-80.1245758
MLS Listing,,Multi-Family (2-4 Unit),,Lake Worth,FL,33460,499000,2,2.0,,1120,,1962,2,446,,Pre On-Market,,,https://www.redfin.com/FL/Lake-Worth/Undisclosed-address-33460/home/42422654,Beaches MLS,F10396115,N,Y,26.6011384,-80.054169
MLS Listing,,Single Family Residential,3750 Da Vinci Cir,West Palm Beach,FL,33417,367000,2,2.0,Cypress Lakes PL 8,1505,6891,1987,2,244,327,Pre On-Market,,,https://www.redfin.com/FL/West-Palm-Beach/3750-Da-Vinci-Cir-33417/home/42135456,Beaches MLS,RX-10913075,N,Y,26.734196,-80.1230994
MLS Listing,,Single Family Residential,1531 Stillwater Dr,Miami Beach,FL,33141,3650000,4,3.0,BISCAYNE BEACH-2ND ADDN,3080,7500,1953,2,1185,,Active,,,https://www.redfin.com/FL/Miami-Beach/1531-Stillwater-Dr-33141/home/42773014,MARMLS,A11438875,N,Y,25.8693171,-80.1371212
MLS Listing,,Townhouse,3136 N Oasis Dr,Boynton Beach,FL,33426,479000,3,2.5,Quantum Park Townhomes Parkside Square,1540,1216,2004,2,311,150,Active,,,https://www.redfin.com/FL/Boynton-Beach/3136-N-Oasis-Dr-33426/home/42576879,Beaches MLS,RX-10913074,N,Y,26.5531236,-80.0838791
